ID,Formula,Name/Details
8103845,- C1.58 H9.04 Al6 Na7.66 O32.76 Si6 -,
8103847,- C1.4 H5.76 Al6 Na7.6 O30.48 Si6 -,
8104602,- C19 H21 O8.5 -,
8104673,- C10 H18 O5 -,
8104811,- C9 H24 N2 O7 -,
8105654,- C21 H30 N24 O33 -,
8106146,- C17 H56 B2 N2 O14 -,
8106329,- C29 H24 Bi2 O5 -,
8106382,- C8 H6 Br F O2 S -,
8106651,- C13 H29 N O3 -,
8106725,- C21.5 H64 N19 O10.5 -,
8106728,- C10 H30 N4 O5 -,
8107488,- C15 H36 N5 O3.5 S -,
9003042,- C2 H12 Ca O20 U3 -,
9003549,- C0.01 H1.3 Ca5 O13.072 P3 -,
9004162,- C0.76 H0.99 Al3 Ca0.75 Na3.01 O15.27 Si3 -,
9004504,- C H15 Na O12 Y -,
9004550,- C16 H8 Ce0.152 Dy0.782 Er0.226 Eu0.188 Gd0.678 Nd0.767 O135 Sm0.678 Tb0.112 U16 Y4.22 -,
9004610,- C2 H4.89 Ce0.01 Dy0.06 Er0.05 Gd0.04 Ho0.02 Na Nd0.03 O12 Sm0.02 Tb0.01 Tm0.01 Y0.72 Yb0.02 -,
9004772,- C8 H22 Cl1.5 Cu12 K2.5 Na O40 -,
9004960,- C H4 Ca7 O23 Si6 -,
9007656,- C2 H5 Na3 O8 -,
9007657,- C2 H5 Na3 O8 -,
9007681,- C4 H3 Na5 O12 -,
9007907,- C2 H6 K4 O9 -,
9009476,- C H5 Na2 O10 P Zr -,
9009498,- C2 H6 B4 Ca4 Mg O18 -,
9009518,- C3 H2 O12 Pb5 -,
9009554,- C6 H12 Ba Na6 O24 Th -,
9010242,- C H K O3 -,
9010983,- C2 H2 O8 Pb3 -,
9011048,- C H Na O3 -,
9011813,- C2 H Na O7 Pb2 -,
9011886,- C15 H4 Ba Cl Dy0.4 F2 Gd0.5 Na25 O53 S2 Y1.1 -,
9012058,- C H Nd O4 -,
9012504,- C3 H16 La2 O17 -,
9012548,- C H Nd O4 -,
9013306,- C H2.92 Be Ca0.09 Na0.9 O5 -,
9013968,- C0.38 H6.92 As0.3 Mg6.68 O18.62 P3.32 -,
9014502,- C3 H2 K2.463 Na1.537 O12 U -,
9014569,- C24 H48 Ca12 K7.11 O112 U8 -,
9016372,- C2 H2 Al1.7 Ba2 Ca F0.66 O18 Si2.98 V1.323 -,
9016453,- C3 H2 K3 Na O12 U -,
9017038,- C H O4.926 Pb0.926 U0.5 -,
9017039,- C H O4.824 Pb0.824 U0.5 -,
9017172,- C2 H2 Li2 Na6 O34 P6 Y3 Zr3 -,
9017418,- C2 H Na O7 Pb2 -,
9017728,- C13 H42 Ca8 Na2 O74.148 U4 -,
9017813,- C H12 Ca2 Mg3 Na O21 P3 -,
